respid,countrycode,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9
7762,1040,6,2,3,1,9,2,96,96,96
7801,1040,7,5,6,0,10,3,96,96,96
7904,1040,3,4,5,0,10,3,96,96,96
9223,1040,2,3,2,98,10,10,96,96,96
9338,1040,6,2,3,3,10,5,96,96,96
99,1040,3,5,8,4,7,2,96,96,96
9672,1040,7,4,4,1,8,3,96,96,96
9753,1040,3,5,3,0,10,4,96,96,96
9989,1040,4,10,5,5,6,4,96,96,96
10559,1040,6,2,7,3,9,1,96,96,96
10722,1040,9,3,6,2,10,5,96,96,96
10882,1040,6,5,5,2,10,3,96,96,96
11029,1040,5,4,1,5,0,2,96,96,96
11228,1040,8,4,5,6,10,2,96,96,96
11327,1040,6,4,6,2,7,3,96,96,96
11741,1040,6,4,98,0,8,98,96,96,96
12208,1040,7,2,6,1,10,1,96,96,96
12320,1040,5,1,6,3,10,1,96,96,96
12369,1040,8,4,6,3,10,5,96,96,96
15201,1040,10,4,6,4,10,5,96,96,96
15213,1040,7,5,6,2,10,3,96,96,96
15451,1040,5,0,9,3,10,6,96,96,96
15557,1040,8,4,5,3,10,4,96,96,96
15738,1040,10,4,0,0,10,2,96,96,96
16833,1040,6,6,5,4,5,5,96,96,96
17096,1040,0,0,0,0,5,0,96,96,96
17097,1040,5,5,6,5,10,5,96,96,96
17099,1040,9,3,7,2,10,0,96,96,96
17102,1040,5,5,5,98,10,98,96,96,96
17103,1040,6,3,98,3,10,4,96,96,96
17106,1040,9,2,4,2,10,4,96,96,96
17107,1040,5,2,4,0,8,0,96,96,96
17110,1040,7,3,5,4,7,2,96,96,96
17112,1040,98,98,98,98,98,98,96,96,96
17114,1040,7,5,5,3,10,3,96,96,96
17116,1040,6,7,8,6,6,7,96,96,96
17118,1040,8,1,7,4,10,98,96,96,96
17120,1040,4,1,9,5,3,9,96,96,96
17124,1040,6,3,5,1,9,3,96,96,96
17128,1040,5,3,3,2,5,3,96,96,96
17131,1040,8,4,6,3,8,3,96,96,96
17134,1040,8,4,6,2,10,3,96,96,96
17136,1040,6,0,4,0,10,3,96,96,96
17137,1040,0,2,5,0,10,1,96,96,96
17138,1040,3,0,0,0,6,0,96,96,96
17142,1040,5,3,5,2,10,2,96,96,96
17143,1040,8,4,3,2,10,2,96,96,96
17145,1040,6,2,5,0,9,0,96,96,96
17146,1040,8,0,7,4,10,5,96,96,96
17149,1040,5,3,3,3,7,1,96,96,96
17152,1040,4,4,0,3,8,3,96,96,96
17153,1040,3,0,0,0,5,0,96,96,96
17157,1040,7,4,3,4,9,98,96,96,96
17158,1040,6,5,4,3,9,2,96,96,96
17160,1040,7,4,98,7,10,5,96,96,96
17163,1040,10,0,6,3,9,0,96,96,96
17165,1040,6,2,2,0,10,2,96,96,96
17167,1040,8,4,5,2,10,2,96,96,96
17169,1040,4,4,3,2,7,4,96,96,96
17170,1040,7,5,4,2,10,4,96,96,96
17171,1040,7,0,2,0,10,0,96,96,96
17175,1040,9,4,6,4,10,4,96,96,96
17182,1040,6,4,3,0,10,3,96,96,96
17184,1040,6,2,5,0,10,1,96,96,96
17185,1040,2,2,0,0,10,6,96,96,96
17195,1040,9,4,5,3,10,4,96,96,96
17198,1040,7,4,4,98,98,0,96,96,96
17199,1040,7,2,2,0,8,1,96,96,96
17200,1040,9,5,6,3,10,4,96,96,96
17206,1040,98,98,98,98,98,98,96,96,96
17207,1040,7,5,2,2,9,4,96,96,96
17208,1040,7,2,3,4,10,5,96,96,96
17212,1040,8,2,6,2,9,4,96,96,96
17213,1040,8,5,5,4,9,2,96,96,96
17214,1040,8,3,6,1,10,3,96,96,96
17225,1040,7,4,4,3,10,2,96,96,96
17226,1040,0,0,0,1,10,1,96,96,96
17228,1040,4,6,3,1,3,5,96,96,96
17230,1040,9,6,1,3,10,4,96,96,96
17237,1040,9,4,4,8,3,5,96,96,96
17240,1040,10,0,3,0,10,5,96,96,96
17242,1040,6,8,7,4,0,3,96,96,96
17243,1040,98,98,98,98,5,98,96,96,96
17245,1040,7,4,6,2,10,1,96,96,96
17247,1040,7,0,3,0,8,2,96,96,96
17253,1040,8,2,9,4,10,4,96,96,96
17262,1040,6,2,3,2,10,7,96,96,96
17267,1040,8,4,6,3,10,1,96,96,96
17273,1040,7,5,3,1,8,2,96,96,96
17274,1040,7,6,3,3,10,2,96,96,96
17278,1040,8,5,2,4,8,0,96,96,96
17284,1040,9,4,7,3,10,2,96,96,96
17286,1040,8,4,2,0,10,2,96,96,96
17291,1040,1,7,5,8,5,8,96,96,96
17294,1040,7,1,4,3,9,2,96,96,96
17299,1040,6,3,98,4,9,4,96,96,96
17301,1040,7,3,7,4,9,98,96,96,96
17303,1040,8,0,6,1,9,0,96,96,96
17306,1040,10,6,6,1,10,2,96,96,96
17308,1040,3,6,8,7,4,6,96,96,96
17309,1040,10,4,7,1,10,4,96,96,96
17312,1040,6,2,4,0,8,0,96,96,96
17316,1040,5,0,4,5,8,0,96,96,96
17319,1040,5,4,3,1,9,2,96,96,96
17334,1040,9,7,3,2,10,1,96,96,96
17346,1040,8,5,2,2,10,7,96,96,96
17350,1040,7,3,6,4,10,98,96,96,96
17352,1040,6,4,6,3,10,0,96,96,96
17353,1040,8,0,3,0,10,0,96,96,96
17361,1040,8,3,5,6,0,5,96,96,96
17366,1040,10,3,4,4,10,98,96,96,96
17377,1040,6,7,6,5,4,5,96,96,96
17385,1040,2,2,2,2,5,3,96,96,96
17387,1040,5,5,5,98,0,0,96,96,96
17390,1040,5,0,4,3,10,3,96,96,96
17396,1040,8,8,5,8,4,8,96,96,96
17397,1040,3,4,0,0,8,0,96,96,96
17398,1040,7,4,6,4,10,3,96,96,96
17399,1040,2,3,5,4,10,4,96,96,96
17405,1040,6,2,4,1,10,3,96,96,96
17406,1040,4,5,3,2,10,3,96,96,96
17423,1040,6,8,7,7,10,8,96,96,96
17427,1040,3,0,0,0,10,0,96,96,96
17430,1040,6,0,5,0,10,1,96,96,96
17439,1040,7,4,6,3,10,2,96,96,96
17453,1040,9,5,6,2,10,4,96,96,96
17460,1040,6,2,4,0,10,4,96,96,96
17467,1040,6,2,0,0,7,5,96,96,96
17478,1040,6,1,4,0,9,0,96,96,96
17482,1040,10,3,5,3,10,0,96,96,96
17486,1040,8,2,6,3,10,4,96,96,96
17487,1040,5,3,5,6,10,5,96,96,96
17494,1040,5,3,98,98,10,7,96,96,96
17514,1040,7,3,5,2,10,2,96,96,96
17515,1040,5,4,3,0,10,0,96,96,96
17520,1040,6,98,6,0,8,3,96,96,96
17522,1040,98,98,98,98,0,98,96,96,96
17525,1040,7,5,6,1,10,1,96,96,96
17527,1040,5,10,9,3,10,3,96,96,96
17529,1040,8,4,5,3,10,5,96,96,96
17532,1040,5,5,5,5,5,5,96,96,96
17535,1040,4,6,98,6,4,6,96,96,96
17537,1040,9,1,6,2,10,3,96,96,96
17539,1040,8,4,7,3,10,3,96,96,96
